tokenId,name,image_url,json_url,size,relatedProject,creator,maxClaimed,price,EXP,RevealDate
100001,PHI Monument,https://www.arweave.net/vLzEDR8utwb6wF0kqHhMxIQ5MOud3EguOkG6YgSBYM4?ext=png,https://www.arweave.net/QRLbGgzdvRhYls98GvEUBoj87F8GmDLwE0bIl6-cA7U,"[1,2,2]",PHI,eBoy,999999999,0,3500,2022/11/01
100002,PHI Logo Scaffold,https://www.arweave.net/eQNEp412MN8s6C2AZhIFw8NC96SIQS4okiXXAnWxWig?ext=png,https://www.arweave.net/-F7HFv5JcDCZ1x-Si2uppIByla4U5ogzA5_vJSsESrw,"[1,1,2]",PHI,eBoy,999999999,0,2000,2022/11/01
100011,PHI Chess Piece,https://www.arweave.net/Tlv8Ny6KcjhDCtK3m-wKux6zqLDv5ogpC-EERGI4qZY?ext=png,https://www.arweave.net/jfmYPTTCepiEGo-CfQrrSecHwZL1dGobhtpxrdhtzZQ,"[1,1,1]",PHI,eBoy,999999999,0,1000,2022/11/01
100012,PHI Logo,https://www.arweave.net/MGi97SXhmBL3G3J92kwN3BzsyisaC0F4oKDhQxzWgqI?ext=png,https://www.arweave.net/P_JugYmq9jiWkKG-EWUo-7ez9nA_R-vq_o5E6UfO14w,"[1,2,2]",PHI,eBoy,999999999,0,1000,2022/11/01
100013,PHI Billboard,https://www.arweave.net/yLWn4Bzl1qOdrMM0JQO3tMCuNNH_3Aee2hutjCgeoeM?ext=png,https://www.arweave.net/831WInU8Pn5ZkYEsCRmqo6vO2AG2AS3wjhl3kPvoKvs,"[1,3,3]",PHI,eBoy,999999999,0,1000,2022/11/01
100014,PHI Building Blockbob,https://www.arweave.net/Ff_LC9J6FkyaIkfl40tKMI5jIIGTNj5NbfewrjtwA_U?ext=png,https://www.arweave.net/6JJERZiB0NWCBclcR2qj1fR8OESPioNG2EleJ_-o1hE,"[2,1,5]",PHI,eBoy,999999999,0,2000,2022/11/01
100015,PHI Building,https://www.arweave.net/la7fYykjFqBJEaBlMz1PeNWcUOG1JGCU9NlDqCfW8RI?ext=png,https://www.arweave.net/ov6Lb1n549WrCyFt_kHbv45HQUbYhID2J4wJ5EQqHsA,"[2,1,6]",PHI,eBoy,999999999,0,2000,2022/11/01
100041,PHI Cab,https://www.arweave.net/MBOyVQ0ZyxM_7s2ocQcW6dRCuuZlmbFB4iIooSfXRUY?ext=png,https://www.arweave.net/WZnZm3mbgZBw9SvZC2LiTY5h3ZD4Z6B0NMKbOIy31is,"[1,1,2]",PHI,ta2nb,999999999,0,1000,2022/11/01
100042,PHI Bus 1,https://www.arweave.net/U-z3Q65S_KMNU-gKic13qCpcoyncvRkk_QTZsgOfO-w?ext=png,https://www.arweave.net/ng8G55-XXU_9rVOZJbQqAY7SwUNFw1-5dwU5EQkO_tg,"[1,2,1]",PHI,Fuzuki,999999999,0,1000,2022/11/01
100043,PHI Bus 2,https://www.arweave.net/MrjlRh7X1O3wDYH9M7sZATDQfTlpoSVa2fBBnCX81is?ext=png,https://www.arweave.net/EboqfAffMYwb1fypl1834inOYGB5rw34yh94dLVAG78,"[1,2,2]",PHI,ta2nb,999999999,0,2000,2022/11/01
